"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"84","경기도 안성시 죽산면 매산리","6**","단독","8m미만","76.65","482.00","202504","30","11,000","개인","개인","1988","관앞길","-","직거래","-"
"85","충청남도 논산시 대교동","2**","단독","12m미만","53.46","172.00","202504","30","10,000","개인","개인","1980","해월로227번길","-","직거래","-"
"86","경상남도 거창군 마리면 말흘리","3**","단독","8m미만","51.30","266.00","202504","30","3,000","개인","개인","1965","송림길","-","직거래","-"
"87","경상남도 함안군 칠북면 이령리","2**","단독","8m미만","79.90","251.00","202504","30","2,100","개인","개인","2024","이령3길","-","직거래","-"
"88","전라남도 나주시 왕곡면 옥곡리","1**","단독","8m미만","51.30","483.00","202504","30","500","개인","개인","1951","터진목길","-","직거래","-"
"89","전북특별자치도 전주시 덕진구 금암동","1***","단독","12m미만","192.35","234.10","202504","30","15,500","개인","개인","1988","매봉15길","-","직거래","-"
"90","경상북도 포항시 북구 죽도동","4*","단독","8m미만","52.00","105.80","202504","30","8,400","개인","개인","1973","죽도로28번길","-","중개거래","경북 포항시 남구"
"91","충청북도 괴산군 청안면 읍내리","1***","단독","12m미만","98.57","503.10","202504","30","20,000","개인","개인","2006","청안읍내로","20250430","중개거래","충북 괴산군"
"92","세종특별자치시  장군면 하봉리","3**","단독","8m미만","78.60","212.00","202504","30","12,000","개인","개인","1991","하봉길","-","중개거래","대전 유성구"
"93","경상남도 고성군 회화면 배둔리","3**","단독","25m미만","66.12","466.00","202504","30","6,500","개인","개인","1976","남해안대로","-","중개거래","경남 진주시"
"94","대전광역시 서구 가수원동","7**","단독","12m미만","157.65","195.80","202504","30","33,500","개인","개인","1989","가수원중로","-","중개거래","대전 서구"
"95","전라남도 목포시 산정동","1***","단독","8m미만","39.66","98.50","202504","30","6,500","법인","개인","1983","원산로45번길","-","중개거래","전남 목포시"
"96","전라남도 목포시 중앙동3가","*","단독","12m미만","82.94","79.30","202504","30","5,000","법인","법인","1935","영산로10번길","-","중개거래","전남 목포시"
"97","경상북도 청송군 진보면 진안리","4**","단독","8m미만","77.55","245.00","202504","30","8,000","개인","개인","1984","본마을1길","-","직거래","-"
"98","충청북도 괴산군 청안면 읍내리","1***","단독","12m미만","98.57","503.10","202504","30","21,000","개인","개인","2006","청안읍내로","-","중개거래","충북 괴산군"
"99","경상북도 예천군 보문면 미호리","6*","단독","8m미만","84.14","259.00","202504","30","4,000","개인","개인","1977","미호길","-","중개거래","경북 예천군"
"100","전북특별자치도 김제시 봉남면 평사리","5**","단독","8m미만","82.00","403.00","202504","30","9,900","개인","개인","1996","평사12길","-","중개거래","전북 김제시"
"101","전라남도 구례군 토지면 외곡리","3**","단독","8m미만","75.60","424.00","202504","30","9,700","개인","개인","1986","외곡중기길","-","중개거래","전남 구례군"
"102","서울특별시 노원구 상계동","1**","단독","8m미만","46.64","93.00","202504","30","47,500","개인","개인","1971","한글비석로24아길","-","중개거래","서울 노원구"
"103","서울특별시 강북구 미아동","4*","다가구","8m미만","188.24","119.00","202504","30","91,200","개인","개인","1992","월계로","-","중개거래","서울 강북구"
"104","충청남도 홍성군 갈산면 동산리","1**","단독","8m미만","99.74","607.00","202504","30","24,100","개인","개인","2024","내포로852번길","-","중개거래","충남 홍성군"
"105","전라남도 강진군 강진읍 춘전리","1**","단독","12m미만","69.72","817.00","202504","30","4,693","개인","개인","1970","지전로안길","-","직거래","-"
"106","서울특별시 종로구 숭인동","7*","다가구","8m미만","240.74","145.40","202504","30","110,000","개인","개인","1995","종로63라길","-","중개거래","서울 종로구"
"107","경기도 포천시 영북면 야미리","4**","단독","8m미만","61.78","456.00","202504","30","13,200","개인","개인","1991","호국로3393번길","-","중개거래","경기 포천시"
"108","전북특별자치도 무주군 부남면 대소리","4**","단독","8m미만","108.77","172.00","202504","30","18,000","개인","개인","1994","대소길","-","중개거래","전북 무주군"
"109","경기도 수원시 영통구 이의동","1***","단독","8m미만","343.11","252.00","202504","30","169,000","개인","개인","2017","웰빙타운로56번길","-","중개거래","경기 수원시 권선구"
"110","서울특별시 동작구 사당동","1**","단독","8m미만","238.14","149.00","202504","30","213,203","기타","개인","1990","사당로29라길","-","직거래","-"
"111","전라남도 함평군 손불면 궁산리","4**","단독","8m미만","50.70","496.00","202504","30","3,000","개인","개인","1960","손불덕산길","-","중개거래","전남 나주시"
"112","경상북도 청도군 이서면 수야리","7**","단독","8m미만","23.14","509.00","202504","30","3,800","개인","개인","1990","행정명곡길","-","직거래","-"
"113","충청남도 태안군 소원면 송현리","6**","단독","8m미만","96.90","340.00","202504","30","5,000","개인","개인","1995","대소산길","-","직거래","-"
