video_id,comment_id,author,text,like_count,published_at
HAZbN8RD_wQ,Ugzbb8LQw104myTIaLl4AaABAg,@monellycoco8675,근데 김성현도 ㅋㅋㅋ 언제 때려보겠냐고 할때 또라인가 싶었엌ㅋㅋㅋㅋ,7,2021-07-11T07:17:42Z
HAZbN8RD_wQ,UgwrClHRqwGgA_DTH8R4AaABAg,@설강동,"맞은 놈이 원래 다혈질이잖아
성격 더러운 놈",0,2021-07-11T06:52:04Z
HAZbN8RD_wQ,UgwlanSGvXWpIzNf7KJ4AaABAg,@가시돋힌장미-i9d,"강민선수가 성격이 좋고 대인관계가 좋으니 성현선수가 치기라도 하지
평소 성격 괴팍하고 지랄맞았어봐
눈도 안쳐다본다
아무리 선,후배지만 때가 어느때인데
똥이 무서워 피하냐 더러워피하자
이런 생각을 하지",10,2021-07-11T04:01:30Z
HAZbN8RD_wQ,UgyUz4pd66c8VgqK4Fl4AaABAg,@klee2937,병장 1호봉이 때리면...말년은 맞아야지,1,2021-07-10T22:58:36Z
HAZbN8RD_wQ,Ugzypq8DoqPeQYZajpV4AaABAg,@내이름은조미연아이들,인터뷰할때 모습은 예전 모습 그대로네요 더그아웃에선 너무 늙어보이니까 슬프더군요,2,2021-07-10T14:54:52Z
HAZbN8RD_wQ,UgwQNel_vAivkSc7HBp4AaABAg,@wimp0094,꼰대,0,2021-07-10T10:57:35Z
HAZbN8RD_wQ,Ugzd5-r2pLtckrWee5h4AaABAg,@abc8471,대인배.^^,0,2021-07-10T07:15:36Z
HAZbN8RD_wQ,UgysVvVZtwEFmz4IkRZ4AaABAg,@Renxx.14222,강민이형 너무 웃겨 캐릭터 너무  좋아 암튼 보고 너무 웃었어요 표정도 ㅋㅋㅋ,28,2021-07-10T05:23:32Z
HAZbN8RD_wQ,Ugwz4HBHkcAQvkJYy4B4AaABAg,@epl1686,의윤선수 많이 놀라셨네 ㅋㅋㅋㅋ,1,2021-07-10T04:14:51Z
HAZbN8RD_wQ,UgwXGWi7h45IRXqjquJ4AaABAg,@sky2799,이쯤되면 둘이 같이 방탈출겜해야됨,0,2021-07-10T04:09:34Z
HAZbN8RD_wQ,UgwL_MCsCSKBTVzR4nJ4AaABAg,@HennryK-c5s,난 바로 품뿜었는데 끝까지보고도 진지빠는 분들 계셔,5,2021-07-10T04:08:30Z
HAZbN8RD_wQ,Ugy8r5LZcunqotycDx14AaABAg,@ihpark7682,노리고 때린거에 어이없는 정색 재밌네요 ㅋㅋㅋ,0,2021-07-10T03:48:45Z
HAZbN8RD_wQ,Ugw1jN7co3zz_cYozlJ4AaABAg,@qwe123plm09,은퇴하면 예능찍고있을거 같은데 ㅋㅋㅋㅋ,0,2021-07-10T03:04:37Z
HAZbN8RD_wQ,Ugwwrg4WHND9TrUoLMd4AaABAg,@만고강산-n1w,왜 머리들을 때려,0,2021-07-10T02:02:02Z
HAZbN8RD_wQ,UgzOg-pC6Z2tw0hZHtR4AaABAg,@Xrptothewhere,Sk가 좋다 난,0,2021-07-10T00:47:48Z
HAZbN8RD_wQ,Ugzp1UNbjDKvwzkvmol4AaABAg,@용용이-x6v,"진짜 솔직하게 말해서 
장난식에 아무리 친하다해도 
보는 앞에서 머리 때리는 것도 
기분 잡치는데
머리 뒤통수 때리는 거는 
진짜 기분 정말 잡친다. 
생판 모르거나 조금 친해도 
겁나 열받는데 사람 때리고 싶다. 
사람 주먹 날라가는거 우발적이다. 

인간적으로 머리는 진짜 때리지 맙시다.",0,2021-07-09T23:20:08Z
HAZbN8RD_wQ,Ugw_-APFiS6nujqct814AaABAg,@Fighter-fw2bc,ㅋㅋㅋㅋㅋ 김강민 ㅋㅋㅋ,2,2021-07-09T22:31:38Z
HAZbN8RD_wQ,UgzSmUkuRK3we-BbYoR4AaABAg,@쪼병옥,썸네일이...,0,2021-07-09T22:29:52Z
HAZbN8RD_wQ,Ugz_oFBJ7nWhckfn_P14AaABAg,@scubaair2888,요즘 애 ㅅㄲ들 싸가지가 바가지라 앞에선 선배 어려운척만 하고 뒤에선 겁대가리 상실,0,2021-07-09T18:32:01Z
HAZbN8RD_wQ,Ugx7zwS6EmNmU5bvum54AaABAg,@babyjaesuk,다들 뒤에서 뚜까 맞았다 인정하시죠?ㅋ,1,2021-07-09T18:28:41Z
HAZbN8RD_wQ,UgzoYUmvXYhyoPg9_Ol4AaABAg,@클레이캘로웨이,와 이팀 선수들 카메라 앞에서도 적극적이네요 피하지도 않고 ㅋㅋㅋㅋ 영상 재밌다ㅋㅋㅋ 부럽다 랜더스팬들...,38,2021-07-09T16:01:59Z
HAZbN8RD_wQ,UgxSZU46NdIm4M8VqAR4AaABAg,@죠니썬더,"헬멧 썼을땐 최고참이라도 헬멧 때릴수있는데 
헬멧 벗은 후에 선배 머리 때리는건 한국문화에선 좀 선넘음ㅋㅋ",1,2021-07-09T14:49:53Z
HAZbN8RD_wQ,UgysBOtY7eYWY19u8F94AaABAg,@우종훈-e5m,"몇일을봐도 우끼네요.
팀 분위기가  좋네요.
삼팬이~^^",4,2021-07-09T13:52:00Z
HAZbN8RD_wQ,Ugw1lpA-FUDf7T5-Nbx4AaABAg,@nikobellic8368,류제국이 등판하면 되겟네,0,2021-07-09T13:24:07Z
HAZbN8RD_wQ,Ugy1NV4vhtOnKhpNXEB4AaABAg,@MENGGOO,ㅋㅋㅋㅋㅋㅋ,0,2021-07-09T10:04:32Z
HAZbN8RD_wQ,UgyPMIvclPsDHQD1ou54AaABAg,@김수동-y1b,성현아 이놈아~,0,2021-07-09T09:32:26Z
HAZbN8RD_wQ,Ugyjld0hPcgeHWm3Kq14AaABAg,@lovetojoa,조회수 뭐에요. ㅋㅋㅋ 하지만 레전드영상 인정합니다~~~,1,2021-07-09T08:32:45Z
HAZbN8RD_wQ,UgxWgRlZofVRLpTDP-54AaABAg,@지구말고다른행성,정의윤 에릭닮았다,1,2021-07-09T07:41:12Z
