video_id,playlist_id,playlist_title,playlist_label
RaOpm3ExEI8,PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,playlist_4
6EDahJiKTxA,PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,playlist_4
EEj5GDufAs4,PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,playlist_4
lvAe3g-Ebf4,PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,playlist_4
kNTHsEhWT4Q,PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,playlist_4
DSmVper17NA,PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,playlist_4
KYf4iu1tp6g,PL8_8tSGm7y1DW5kee6OVsHJq_F-QhtN1o,2024 투수조 야구 게임🔥,playlist_5
6EDahJiKTxA,PL8_8tSGm7y1DW5kee6OVsHJq_F-QhtN1o,2024 투수조 야구 게임🔥,playlist_5
wmt0Hd2KiMk,PL8_8tSGm7y1DW5kee6OVsHJq_F-QhtN1o,2024 투수조 야구 게임🔥,playlist_5
kNTHsEhWT4Q,PL8_8tSGm7y1DW5kee6OVsHJq_F-QhtN1o,2024 투수조 야구 게임🔥,playlist_5
-6UXbF82h7c,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
1JOh4ubsAUE,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
4BrLnLAvWwM,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
6dDhMDN7prw,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
W7RZCn3NWJw,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
_uZn0ivchQc,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
lTg1z6WjcKQ,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
swAzLF9zN7I,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
u6NdU019Kaw,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
5GN2WJJap1k,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
6Ybp9Y3vEcs,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
GSIfN7kHOmw,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
aHP3ixY27Gs,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
cKeSrzctZYk,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
hx_Sj8ccbT4,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
jsDGx_KK9E8,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
ofRuLe5Bbck,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
TZC7zrqWdc0,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
qk5iswzKWNY,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
zCsx35JsjHs,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
po1_jiKigJ4,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
4ap-DL2Keqc,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
pKSZa34egHE,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
0HQFHpgqQMg,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
SZs-wgZua0Q,PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,playlist_6
FFjW7yVrZYE,PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,playlist_7
YGR98EnvTig,PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,playlist_7
n8OZDbHFrvw,PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,playlist_7
6s2dHcOkPZQ,PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,playlist_7
8UfXkMfVcws,PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,playlist_7
88NJXEYg0oU,PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,playlist_7
z5lYpa7e-aI,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
YgdcmL3wlvM,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
sf20OMGCI50,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
3lBrMnPafsE,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
fLwgGgZiw0g,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
JfBZ1eH9VVU,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
LDXjrQUUFr4,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
tuMlx2YyyUw,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
Zxyl50e9qec,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
l_d96YYq6y0,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
k8c1ZfcFwB4,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
r2k_opX-gUE,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
8lSXSRhgl4Y,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
n6w50J38hro,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
LT9_laxHTKc,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
4ofeLkPRs68,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
lN5n0X-j0RQ,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
FjUobEic-C4,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
PYvV5sVUq-k,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
1JOh4ubsAUE,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
f70_NtzC5UA,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
jCTy09wJd9s,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
8wGjJrj8TiY,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
J-rtJDmwSiM,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
AGTelRM6m2M,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
iHI0TOIM-NM,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
6fwIrWIrUF8,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
